dietaa	dietab	dietac
105	83	72
86	80	72
109	69	69
87	77	95
90	76	70
104	78	68
68	76	72
104	70	72
110	82	75
112	80	70
90	76	86
88	79	75
99	77	71
108	86	71
95	83	70
104	76	90
108	80	74
81	79	69
84	72	68
100	79	79
97	80	70
97	80	95
99	79	77
88	83	72
111	80	79
105	78	71
102	84	73
91	83	69
119	81	86
96	82	73
92	74	89
81	78	103
86	83	74
95	77	84
93	70	78
87	86	71
101	79	74
113	76	90
93	74	81
87	77	72
91	73	72
95	82	78
118	68	76
109	73	68
86	87	71
99	82	68
108	88	83
104	68	68
111	80	68
86	83	85
105	111	121
94	102	70
115	115	69
80	117	80
89	111	82
85	104	70
109	108	82
100	111	70
110	108	73
96	119	70
96	117	68
102	110	68
102	111	68
100	110	73
108	114	101
95	110	71
96	111	71
99	119	81
95	106	68
95	105	80
102	106	109
90	115	74
92	118	79
111	109	94
88	106	69
119	113	75
99	115	73
102	114	69
106	112	85
121	111	68
105	101	84
89	112	68
114	106	80
86	104	69
86	101	90
116	115	87
110	112	81
97	109	70
102	115	73
101	107	75
98	109	70
87	109	82
88	106	72
98	105	79
106	106	73
100	112	107
116	104	69
99	122	73
97	109	80
100	118	110
